code,local_name,series,set_ids,prior_coverage,selection_reason,local_type,local_setcode,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
1041278,分离的烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,57519825f9bb593d56ed55a014d28d37b960c4634dd5d71131cc71873c882e56,"m-pre,m1",17472,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17472&ope=4&request_locale=ja,reviewed-added,解放融合怪兽为费用，两非融合对象必须均可特召；同一处理中的场地归属是条件性分支。
6763530,烙印追放,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,8856418d14e4df5038fc01d57daad544b27bcb45ba5390f6552ffa6a80c93166,"m-pre,m1",17183,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17183&ope=4&request_locale=ja,reviewed-added,复活成功是追加融合前提；除外融合素材是处理，不是费用。
10065487,烙印丧失,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,2,349,4c5d4f6843dd8205c599c20a78a8503fdeeca8f6429b0d6fb929773063ca4190,"m-pre,m1",17168,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17168&ope=4&request_locale=ja,reviewed-added,两个对象各回持有者卡组／额外；结束阶段双方可特召与回卡组成功无关。
14220547,烙印的命数,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131074,21299549,a1e6e2b0fd38356db8f53d58deb5894bcc67d156adfd0ac79651c81016cd51dc,"m-pre,m1,m2",17460,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17460&ope=4&request_locale=ja,reviewed-added,仪式分支确认额外卡组并送墓；融合分支取刚特召怪兽为对象，加攻并限制攻击对象。
17751597,烙印断罪,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,1048580,349,207bd2e5de77af6538a8bc1962d4cde4a503ef84ef084340abb53ed325787b48,"m-pre,m1,m2",17068,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17068&ope=4&request_locale=ja,reviewed-added,①回额外成功后无效发动并破坏；②墓地除外自身费用后回收另一张烙印魔陷。
18973184,失烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131074,349,002a6cb8479aacd759ea9d95f60c8a4e03532f208eb872910b694af94274806b,"m-pre,m1,m2",17065,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17065&ope=4&request_locale=ja,reviewed-added,①是不入连锁的发动保护与条件性融合成功时响应封锁；②卡组检索。
19271881,赫耀的王之烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,f277094a2e227801186721fe97362cdf93e3236383fdc84d050d29b474e0585a,"m-pre,m1,m2",18533,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18533&ope=4&request_locale=ja,reviewed-added,①处理时选保护对象之外的所有表侧卡效果无效；②本回合融合怪兽送墓后结束阶段自回手。
29948294,烙印的气炎,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,65538,349,b669b2bc0a3d1687f40a976cd0e8138426e93cbdf21a45f2f68b66363269f172,"m-pre,m1,m2",16541,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16541&ope=4&request_locale=ja,reviewed-added,①的展示、额外卡组送墓、可选丢弃与检索全是效果处理；②结束阶段自回手。
30271097,落胤与圣女,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,65538,21299549,489205d60b6c07d0e91882d99ad4bfb71f0547cb66010d5529e084eee0cc89c5,"m-pre,m1",22089,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=22089&ope=4&request_locale=ja,reviewed-added,规则双系列归属不是效果；第一分支送额外怪兽是费用，第二分支取墓地怪兽复活。
32756828,烙印之兽,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131076,349,8ef691b1ab0f20acbff22841c56d46a0a20bc65dc22a1580895aadd54b373da7,"m-pre,m1,m2",17828,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17828&ope=4&request_locale=ja,reviewed-added,①解放龙族为费用后对象破坏；②双方结束阶段把墓地永续烙印表侧放置。
