code,local_name,series,set_id,prior_coverage,selection_reason,local_type,local_setcode,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
8491308,闪刀姬-飒天,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,f82b07337939ac3f00a2f5a37c5275c93ab53fc7172b977773dcaf6e57bfdec3,"m-pre,m1,m2",13763,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13763&ope=4&request_locale=ja,reviewed-added,①永续可直接攻击；②伤害计算后将卡组闪刀卡送墓。
8491309,闪刀姬-飒天,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,f82b07337939ac3f00a2f5a37c5275c93ab53fc7172b977773dcaf6e57bfdec3,"m-pre,m1,m2",13763,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13763&ope=4&request_locale=ja,reviewed-added,①永续可直接攻击；②伤害计算后将卡组闪刀卡送墓。
9726840,闪刀起动-连刀,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,65538,277,fefd34c5d6abb801709e7645b8722a84f8df747f8be17e054992e01194dba7c6,m1,17034,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17034&ope=4&request_locale=ja,reviewed-added,自己主怪兽区空时，处理送己方其他卡墓地并同时从额外怪兽区特召系列怪兽，满足光暗条件加攻，本回合额外系列自锁。
9726841,闪刀起动-连刀,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,65538,277,fefd34c5d6abb801709e7645b8722a84f8df747f8be17e054992e01194dba7c6,m1,17034,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17034&ope=4&request_locale=ja,reviewed-added,自己主怪兽区空时，处理送己方其他卡墓地并同时从额外怪兽区特召系列怪兽，满足光暗条件加攻，本回合额外系列自锁。
12421694,闪刀姬-魁奈,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,681ae4af87ddf45ea907fed3c5317d3623cc4d7818ecf21634db3ab8c9349219,"m-pre,m1,m2",14132,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14132&ope=4&request_locale=ja,reviewed-added,①特召后对象怪兽禁攻至对方回合结束；②己方闪刀魔法效果结算后本卡仍在怪兽区则回复100。
17217034,合体术式-交闪零式,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,90d2ffbc701ab29a51fca81a8b26c7823c9a9962ee0cacbf53ef8a21fe714a1b,"m-pre,m1,m2",19933,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=19933&ope=4&request_locale=ja,reviewed-added,非效果闪刀姬归属及召唤限制；①特召后效果无效对象，②墓地零衣与露世齐备时攻击开始全体破坏。
20357457,未来之柱-奇亚诺丝,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,33,277,afdd589eb76bbc4a7d5e78fa740e4d3277a2495448b545414689f28a919b8826,"m-pre,m1,m2,m3",19752,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=19752&ope=4&request_locale=ja,reviewed-added,①弃魔法费用自特召；②召唤后特召露世并施加额外机械族自锁；③墓地自除外费用后回手或特召露世。
21623008,闪刀术式-爆风偏向,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,2,277,b8b6fcb22a32244c53f50104cd1f198b5edd5aa641efa9d86bc7cd3842889b63,m1,13948,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13948&ope=4&request_locale=ja,reviewed-added,主怪兽区空时双方卡组顶各2张送墓，随后己方墓地3魔法可选清退对方额外怪兽区怪兽。
22790910,智之贤者-希默尔,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,33,277,35a6380f86a6581c06cb9b256d3d6268bbdfeae25b8e60c379472019abf011db,"m-pre,m1,m2,m3",18444,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18444&ope=4&request_locale=ja,reviewed-added,①弃魔法费用自特召；②墓地2魔法除外费用无效对方取己方连接怪兽为对象的效果；③毁后回收除外闪刀魔法。
23530726,闪术兵器-斯佩克特拉,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,873bf72b80639795f13c52febd57028c861af466313dfb2f22be8fbf48b7b161,"m-pre,m1,m2",19740,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=19740&ope=4&request_locale=ja,reviewed-added,非效果连接手续限制；①连锁2以后除外2魔法费用无效对方效果，成功后可破坏1卡；②墓地无魔法自降3000。
24010609,闪刀机关-多任务战刀机,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,131074,277,3db56cc238f8f988b8e507e13ec7ad214a5949fe5ad0404b89905cc931ceee7d,"m1,m2",13679,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13679&ope=4&request_locale=ja,reviewed-added,①对象己方其他卡后本回合阻止对方连锁己方魔法卡发动，再送对象墓地；②双方结束阶段按本卡表侧期间发动数从墓地盖系列魔法。
25072579,试号闪刀姬-天津,闪刀,set:115,none,完整主系列；资源循环、速攻魔法和连接怪兽的常用对局场景,67108897,4373,7994c94624edc97673713cb8075442dc0898a65b503c5ed7163cb8fc133ac5ba,"m-pre,m1,m2",21600,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21600&ope=4&request_locale=ja,reviewed-added,①对方高攻击怪兽效果发动时改写其处理；②战斗攻击宣言时双方各1对象破坏。
