code,local_name,series,set_id,prior_coverage,selection_reason,local_type,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
15665977,杀手级调整曲·红印鉴唱片师,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,12321,2948c69768bf9940e99638017a5269550ee1bec2efbdb1c54264a5d2ae499f2c,"m-pre,m1,m2,m3",21959,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21959&ope=4&request_locale=ja,reviewed-added,①②是永续数值变化；③除外墓地调整是费用，对方表侧卡是对象。
39576656,杀手级调整曲·噼啪削波手,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,12321,ac0f82f5a40ff36fb56321c7f52430528973360bc3733a99c871fceec8ebd1a0,"m-pre,m1,m2",22550,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=22550&ope=4&request_locale=ja,reviewed-added,额外卡组确认与暂时除外分开；①的攻击力上升和②的追加除外都以先行处理成功为条件。
40847034,杀手级调整曲播放列表,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,4,19554270e3af8a79dd61fa13cd74a1ebcf1f0de37bf14d3bfbd75acc2038f210,"m-pre,m1",21963,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21963&ope=4&request_locale=ja,reviewed-added,本卡是通常陷阱发动；复制效果的具体能力取决于对象，不静态推断；自锁从处理后开始。
41069676,杀手级调整曲响度战争,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,12321,f2e5b82b4337cc61d03647469782a99c7c47c4602d4fc21dfe807156294cdd0e,"m-pre,m1,m2",21960,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21960&ope=4&request_locale=ja,reviewed-added,①保护自己其他调整；②直接连锁对方效果，除外墓地怪兽为费用。
43904702,杀手级调整曲·削波手,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,4129,29ed1e4565946838cf748f4ba2e9ff878ebb858074dd0b92b500da44948006e1,"m-pre,m1,m2",21954,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21954&ope=4&request_locale=ja,reviewed-added,素材手续不是效果；①是对方主要阶段手卡快速效果，②是墓地诱发随机除外。
65961304,杀手级调整曲 B2B,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,12321,888a19b06b65a396638a13787db438d90da8c250eaca56372302ff68f61f5c8a,"m-pre,m1,m2,m3",22551,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=22551&ope=4&request_locale=ja,reviewed-added,①②是永续效果；③为响应对方怪兽效果的快速效果，同一连锁可重复发动但总计至多2次。
78058681,杀手级调整曲同调,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,65538,580261e3690476ec4d9379a2ff50e3c5e32370f83313b8b1fb7e00512479b16f,"m-pre,m1",21961,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21961&ope=4&request_locale=ja,reviewed-added,检索成功后才可追加同调召唤；调整自锁从未被无效的处理后开始。
88170262,杀手级调整曲·再混音手,杀手旋律／杀手级调整曲,set:1d5,none,补卡文档优先；完整系列,12321,da04f94fc74ec37682df56ded7015d803a42ee594d90c603bf9bc0635fc208fb,"m-pre,m1,m2",21958,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21958&ope=4&request_locale=ja,reviewed-added,②是对方回合快速效果；解放是费用，墓地两只调整处理时选择，回手与特召同时。
14442329,点唱机酒吧“杀手级调整曲”,杀手旋律／杀手级调整曲,set:1d5,reviewed,补卡文档优先；完整系列,524290,55abc8981ce5f4ca0d0cfab7b91874c4f11056daa4c6c78f642400723f6faf16,"m-pre,m1,m2,m3",21962,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21962&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
16387555,杀手级调整曲·提示员,杀手旋律／杀手级调整曲,set:1d5,reviewed,补卡文档优先；完整系列,4129,41eaaec6be4e0a69836b97b1f50e13b3555325c13ad7da26e712cbe50f80238c,"m-pre,m1,m2",21956,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21956&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
16509007,杀手级调整曲·混音手,杀手旋律／杀手级调整曲,set:1d5,reviewed,补卡文档优先；完整系列,4129,55cb7815cef74f0344f48b4d584240909aa2690deef3e38b4903cba0f2147544,"m-pre,m1,m2",21953,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=21953&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
